Assay,Measure,Name,Phenotype mean,Phenotype sd,Phenotype males mean,Phenotype males sd,Phenotype females mean,Phenotype females sd,LogP for phenotype sex difference,Nb samples,Linear model,Category,Name,Heritability,Heritability standard error,Heritability p-value
Body weight measures,Body weight (g) at Startle PPI test (~17 weeks of age),Weight.Startle,40.2,6.28,44.1,5.23,36.5,4.7,171,1673,Weight.Startle~1 + Sex + (1|Batch),physiological,Weight.Startle,0.349,0.070,6.53E-09
,Body weight (g) at Hypoxia test (~18 weeks of age),Weight.Hypo,40.8,6.46,44.7,5.37,36.9,4.94,168,1704,Weight.Hypo~1 + Sex + (1|Batch),physiological,Weight.Hypo,0.339,0.070,1.64E-08
,Body weight (g) at Cardio test (~19 weeks of age),Weight.ECG,41.8,6.63,45.9,5.61,38,5,128,1323,Weight.ECG~1 + Sex + (1|Batch),physiological,Weight.ECG,0.315,0.086,1.84E-05
,Body weight (g) at dissection after overnight fast (~20 weeks of age),Weight.Diss,37.3,6.09,40.6,5.32,34,4.92,145,1903,Weight.Diss~1 + Sex + (1|Batch),physiological,Weight.Diss,0.373,0.062,2.79E-12
,"Mean of Weight.Startle, Weight.Hypo, Weight.ECG and Weight.Diss if at least 3 of the 4 measures are available (g)",Weight.Average,39.4,6.3,43.2,5.31,35.7,4.81,142,1482,Weight.Average~1 + Sex + (1|Batch),physiological,Weight.Average,0.414,0.079,2.71E-09
,Body Mass Index (= Weight.Diss / Diss.Body.Length^2),Weight.BMI.body,0.326,0.0404,0.342,0.038,0.309,0.0358,73.9,1873,Weight.BMI.body~1 + Sex + (1|Batch),physiological,Weight.BMI.body,0.315,0.063,5.20E-09
,Pseudo Body Mass Index (= Weight.Diss / Tibia.Length^2),Weight.BMI.tibia,0.104,0.0153,0.112,0.0134,0.0962,0.0126,128,1832,Weight.BMI.tibia~1 + Sex + (1|Batch),physiological,Weight.BMI.tibia,0.435,0.065,1.40E-14
"Anatomical measures (Adrenals, hind limb muscles and brain weight, body, tibia and tail length)",Mean weight of adrenal glands (g),Adrenals.Adrenals_g,0.00502,0.00253,0.00276,0.000727,0.00725,0.0015,Inf,1488,Adrenals.Adrenals_g~1 + Sex + (1|Batch) + Body.Weight,tissue,Adrenals.Adrenals_g,0.244,0.076,1.59E-04
,Weight of tibialis anterior (g),Muscles.TA.g,0.0608,0.00855,0.0668,0.0066,0.0549,0.00563,263,1828,Muscles.TA.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.TA.g,0.391,0.066,3.86E-12
,Weight of extensor digitorum longus (g),Muscles.EDL.g,0.0123,0.00194,0.0137,0.00156,0.011,0.00123,254,1833,Muscles.EDL.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.EDL.g,0.303,0.067,1.76E-07
,Weight of gastrocnemius (g),Muscles.Gast.g,0.143,0.0198,0.156,0.0161,0.131,0.0141,215,1832,Muscles.Gast.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Gast.g,0.285,0.067,1.73E-06
,Weight of plantaris (g),Muscles.Plant.g,0.0176,0.00283,0.0195,0.00222,0.0156,0.00187,255,1832,Muscles.Plant.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Plant.g,0.226,0.063,2.36E-05
,Weight of soleus (g),Muscles.Sol.g,0.00886,0.00148,0.00973,0.00131,0.00801,0.0011,163,1832,Muscles.Sol.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Sol.g,0.331,0.066,8.31E-09
,Length of tibia (mm),Tibia.Length,18.9,0.45,19,0.43,18.8,0.43,80,1841,Tibia.Length~1 + Sex + (1|Batch) + Body.Weight,tissue,Tibia.Length,0.469,0.057,1.86E-11
,Weight of brain at dissection (g),Diss.Brain.Weight,0.456,0.0258,0.455,0.0259,0.457,0.0257,1.25,1863,Diss.Brain.Weight~1 + (1|Batch),tissue,Diss.Brain.Weight,0.323,0.066,2.62E-08
,Length of body at dissection (mm),Diss.Body.Length,10.7,0.464,10.9,0.407,10.5,0.425,88.5,1829,Diss.Body.Length~1 + Sex + (1|Batch) + Body.Weight + Diss.Experimenter.CardiacPuncture + Diss.Cull.Date.Day_of_Year,physiological,Diss.Body.Length,0.142,0.063,8.01E-03
,Length of tail at dissection (mm),Diss.Tail.Length,9.66,0.512,9.91,0.462,9.4,0.425,97.3,1549,Diss.Tail.Length~1 + Sex + (1|Batch) + Body.Weight + Diss.Experimenter.1,physiological,Diss.Tail.Length,0.277,0.076,3.09E-05
Apparent Bone Mineral Content (AppBMC) and size of tibia,Most frequent occurring appBMC (pixel intensity in bone),BMC.Mode,166,14.6,169,15.8,163,12.7,16.9,1760,BMC.Mode~1 + Sex + (1|Batch),tissue,BMC.Mode,0.211,0.065,1.32E-04
,Midpoint appBMC,BMC.Median,170,9.64,171,9.7,169,9.48,5.28,1835,BMC.Median~1 + Sex + (1|Batch),tissue,BMC.Median,0.464,0.064,1.00E-16
,Mean appBMC,BMC.Mean,171,10.1,172,10.2,171,10,1.54,1838,BMC.Mean~1 + (1|Batch),tissue,BMC.Mean,0.450,0.063,1.00E-16
,Standard deviation of appBMC,BMC.StdDev,28.6,4.21,29.3,4.4,28,3.93,9.36,1815,BMC.StdDev~1 + Sex + (1|Batch),tissue,BMC.StdDev,0.255,0.063,1.77E-06
,Minimum value of appBMC,BMC.Min,82.4,29.1,80.9,29.5,83.9,28.6,1.58,1856,BMC.Min~1 + (1|Batch),tissue,BMC.Min,0.056,0.060,1.78E-01
,Maximum value of appBMC,BMC.Max,243,7.48,244,7.33,242,7.49,8.01,1859,BMC.Max~1 + Sex + (1|Batch) + Body.Weight,tissue,BMC.Max,0.413,0.063,2.52E-15
,Symmetry of distribution of appBMC,BMC.Skew,0.0637,0.314,0.0174,0.297,0.11,0.324,9.6,1826,BMC.Skew~1 + Sex + (1|Batch),tissue,BMC.Skew,0.032,0.059,2.92E-01
,Quantification of match between the distibution of appBMC and a Gaussian distribution,BMC.Kurt,-0.197,0.459,-0.258,0.444,-0.137,0.465,7.69,1798,BMC.Kurt~1 + Sex + Diss.Transfer.Date.Month,tissue,BMC.Kurt,0.119,0.061,1.59E-02
,Most frequent occurring appBMC (pixel intensity in bone) restricted to bones not affected by osteopetrosis (Mode<210),BMC.Mode.N,165,12.3,168,12.7,163,11.3,20,1736,BMC.Mode.N~1 + Sex + (1|Batch),tissue,BMC.Mode.N,0.234,0.067,4.89E-05
,Midpoint appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.Median.N,169,8.26,170,8.26,168,8.19,4.53,1728,BMC.Median.N~1 + (1|Batch) + Body.Weight,tissue,BMC.Median.N,0.369,0.067,1.73E-10
,Mean appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.Mean.N,170,8.62,170,8.63,169,8.6,0.918,1729,BMC.Mean.N~1 + (1|Batch),tissue,BMC.Mean.N,0.351,0.067,1.12E-09
,Standard deviation of appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.StdDev.N,28.2,3.9,28.8,4.05,27.7,3.68,7.71,1703,BMC.StdDev.N~1 + Sex + (1|Batch),tissue,BMC.StdDev.N,0.193,0.065,4.07E-04
,Minimum value of appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.Min.N,81.9,28.8,80.5,28.9,83.3,28.5,1.38,1738,BMC.Min.N~1 + (1|Batch),tissue,BMC.Min.N,0.043,0.064,2.55E-01
,Maximum value of appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.Max.N,242,7.12,243,6.93,242,7.2,6,1740,BMC.Max.N~1 + Sex + (1|Batch) + Body.Weight,tissue,BMC.Max.N,0.267,0.066,2.23E-06
,Symmetry of distribution of appBMC restricted to bones not affected by osteopetrosis (Mode<210),BMC.Skew.N,0.086,0.304,0.0412,0.286,0.129,0.316,8.73,1700,BMC.Skew.N~1 + Sex + (1|Batch),tissue,BMC.Skew.N,0.082,0.066,9.76E-02
,Quantification of match between the distibution of appBMC and a Gaussian distribution restricted to bones not affected by osteopetrosis (Mode<210),BMC.Kurt.N,-0.159,0.431,-0.221,0.412,-0.101,0.44,8.15,1695,BMC.Kurt.N~1 + Sex + (1|Batch),tissue,BMC.Kurt.N,0.028,0.062,3.22E-01
,Bone area (mm2),BMC.Area,11.8,1.35,12.5,1.2,11.1,1.12,125,1847,BMC.Area~1 + Sex + (1|Batch) + Body.Weight,tissue,BMC.Area,0.129,0.060,8.17E-03
,Length of outside boundary of bone,BMC.Perim,28.9,0.782,29.2,0.739,28.6,0.723,54.8,1841,BMC.Perim~1 + Sex + (1|Batch) + Body.Weight,tissue,BMC.Perim,0.341,0.066,5.87E-09
,Width of smallest rectangle enclosing the bone,BMC.Width,12.3,0.307,12.4,0.298,12.3,0.299,23.9,1842,BMC.Width~1 + Sex + (1|Batch) + Body.Weight,tissue,BMC.Width,0.417,0.065,9.70E-14
,Height of smallest rectangle enclosing the bone,BMC.Height,2.65,0.374,2.77,0.365,2.54,0.345,42.7,1821,BMC.Height~1 + Sex + (1|Batch),tissue,BMC.Height,0.000,0.000,1.00E+00
Wound healing,Mean surface at dissection of two 2 square millimeters holes punched through the ears 5 weeks previously (mm^2),WH.Ears_Area,1.93,0.676,2.18,0.65,1.68,0.604,51.4,1541,WH.Ears_Area~1 + Sex + (1|Batch) + WH.Cage.Density,tissue,WH.Ears_Area,0.285,0.078,5.06E-05
Hippocampal neurogenesis,Number of proliferating cells in the Dentate Gyrus of the Hippocampus (stained by antibody against Ki67 marker) ,Neuro.Ki67,88.1,27.5,88,26.5,88.2,28.5,0.0581,1484,Neuro.Ki67~1 + (1|Neuro.Staining.batch) + Neuro.Nb_slices_Ki67 + (1|Batch),tissue,Neuro.Ki67,0.336,0.079,1.80E-06
,Number of newly formed neurons in the Dentate Gyrus of the Hippocampus (stained by antibody against DCX marker) ,Neuro.DCX,145,54.8,138,53.5,151,55.3,5.42,1438,Neuro.DCX~1 + (1|Neuro.Staining.batch) + Neuro.Nb_slices_DCX + Sex + (1|Batch),tissue,Neuro.DCX,0.336,0.080,1.51E-06
"Blood measures (plasma clinical chemistry, platelet serotonin and haematology)",Albumin (g/l),Bioch.Albumin,27.8,1.93,27,1.75,28.6,1.77,48.5,1181,Bioch.Albumin~1 + Sex + (1|Batch) + Body.Weight + Diss.Experimenter.1,tissue,Bioch.Albumin,0.238,0.099,5.64E-03
,Alkaline Phosphatase (U/l),Bioch.ALP,119,44.1,142,47.8,97,24.3,77.9,1228,Bioch.ALP~1 + Sex + (1|Batch),tissue,Bioch.ALP,0.596,0.092,6.74E-13
,Alanine Aminotransferse (U/l),Bioch.ALAT,45.4,10.3,47.9,11,43,8.83,17.3,1258,Bioch.ALAT~1 + Sex + (1|Batch),tissue,Bioch.ALAT,0.333,0.094,6.87E-05
,alpha-Amylase (U/l),Bioch.Amylase,604,95.4,624,99,583,86.7,14,1215,Bioch.Amylase~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.Amylase,0.348,0.093,2.05E-05
,Aspartate aminotransferase (U/l),Bioch.ASAT,78.7,24.5,76.6,26.1,81,22.4,2.46,1029,Bioch.ASAT~1 + (1|Batch) + Body.Weight,tissue,Bioch.ASAT,0.000,0.000,1.00E+00
,Calcium (mmol/l),Bioch.Calcium,2.34,0.0873,2.35,0.0885,2.34,0.0854,3.01,1282,Bioch.Calcium~1 + (1|Batch) + Body.Weight,tissue,Bioch.Calcium,0.172,0.089,2.02E-02
,Chloride (mmol/l),Bioch.Chloride,111,2.88,112,2.57,109,2.54,67.4,1279,Bioch.Chloride~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.Chloride,0.130,0.088,6.41E-02
,"Creatinine (enzymatic method, µmol/l)",Bioch.CreatinineEnzymatic,8.48,1.7,7.42,1.26,9.59,1.36,134,1173,Bioch.CreatinineEnzymatic~1 + Sex + (1|Batch),tissue,Bioch.CreatinineEnzymatic,0.212,0.096,7.61E-03
,Free Fatty Acids (mmol/l),Bioch.FreeFattyAcid,0.912,0.277,0.796,0.233,1.03,0.267,56.4,1245,Bioch.FreeFattyAcid~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.FreeFattyAcid,0.218,0.093,6.42E-03
,Glucose (mmol),Bioch.Glucose,10.2,1.96,10.7,1.99,9.84,1.83,13.9,1287,Bioch.Glucose~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.Glucose,0.159,0.086,2.19E-02
,Glycerol (µmol/l),Bioch.Glycerol,284,94.9,231,67.8,340,87.2,103,1213,Bioch.Glycerol~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.Glycerol,0.090,0.096,1.81E-01
,HDL Cholesterol (mmol/l),Bioch.HDL,2.23,0.546,2.65,0.391,1.8,0.287,247,1248,Bioch.HDL~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.HDL,0.534,0.092,8.63E-11
,Iron (µmol/l),Bioch.Iron,36.5,6.68,35.4,5.84,37.8,7.33,7.89,1040,Bioch.Iron~1 + Sex + (1|Batch),tissue,Bioch.Iron,0.160,0.106,5.38E-02
,Lactate Dehydrogenase (U/l),Bioch.LDH,582,172,578,174,587,170,0.333,905,Bioch.LDH~1 + (1|Batch) + Diss.Experimenter.CardiacPuncture + Diss.Experimenter.CardiacDissection + Diss.Cull.Date.Day_of_Year,tissue,Bioch.LDH,0.000,0.000,1.00E+00
,LDL Cholesterol (mmol/l),Bioch.LDL,0.641,0.247,0.743,0.273,0.542,0.169,46.1,1185,Bioch.LDL~1 + Sex + (1|Batch) + Diss.Transfer.Date.Day_of_Year + Body.Weight,tissue,Bioch.LDL,0.256,0.093,1.01E-03
,Inorganic Phosphate (mmol(l),Bioch.Phosphorous,1.81,0.303,1.78,0.288,1.84,0.314,3.11,1262,Bioch.Phosphorous~1 + (1|Batch),tissue,Bioch.Phosphorous,0.000,0.000,1.00E+00
,Potassium (mmol/l),Bioch.Potassium,5.25,0.616,5.43,0.606,5.05,0.566,23.4,1059,Bioch.Potassium~1 + Sex + (1|Batch),tissue,Bioch.Potassium,0.068,0.100,2.37E-01
,Sodium( mmol/l),Bioch.Sodium,147,2.89,148,2.56,145,2.67,56.8,1287,Bioch.Sodium~1 + Sex + (1|Batch),tissue,Bioch.Sodium,0.090,0.085,1.33E-01
,Total Billirubin (µmol/l),Bioch.Tot.Billirubin,2.8,0.651,3.14,0.601,2.42,0.469,81.4,997,Bioch.Tot.Billirubin~1 + Sex + (1|Batch),tissue,Bioch.Tot.Billirubin,0.094,0.107,1.76E-01
,Total Cholesterol (mmol/l),Bioch.Tot.Cholesterol,3.18,0.706,3.72,0.516,2.65,0.395,233,1271,Bioch.Tot.Cholesterol~1 + Sex + (1|Batch) + Body.Weight,tissue,Bioch.Tot.Cholesterol,0.509,0.091,1.13E-10
,Total Protein (g/l),Bioch.Tot.Protein,55.4,2.86,55.4,2.84,55.4,2.87,0.161,1265,Bioch.Tot.Protein~1 + (1|Batch) + Body.Weight,tissue,Bioch.Tot.Protein,0.215,0.091,5.76E-03
,Tryglycerides (mmol/l),Bioch.Triglycerides,1.3,0.415,1.25,0.419,1.34,0.407,3.54,1272,Bioch.Triglycerides~1 + (1|Batch) + Body.Weight,tissue,Bioch.Triglycerides,0.324,0.093,9.78E-05
,Urea (mmol/l),Bioch.Urea,7.18,1.31,7.51,1.29,6.86,1.25,18.5,1269,Bioch.Urea~1 + Sex + (1|Batch),tissue,Bioch.Urea,0.259,0.099,5.71E-03
,White Blood Cells Count from the Peroxidase Method (x10E03 cells/µL),Haem.WBCP,4.42,1.96,4.29,1.87,4.56,2.05,1.91,1340,Haem.WBCP~1 + (1|Batch),tissue,Haem.WBCP,0.236,0.082,6.87E-04
,White Blood Cells Count from the Basophil Method (x10E03 cells/µL),Haem.WBCB,4.6,2.06,4.47,1.99,4.74,2.13,1.8,1343,Haem.WBCB~1 + (1|Batch),tissue,Haem.WBCB,0.261,0.084,3.69E-04
,Red Blood Cells (x10E03 cells/µL),Haem.RBC,9.7,0.581,9.64,0.584,9.77,0.572,4.22,1339,Haem.RBC~1 + (1|Batch),tissue,Haem.RBC,0.422,0.081,1.21E-09
,Haemoglobin (g/dL),Haem.measHGB,14.3,0.948,14,0.888,14.6,0.925,27.4,1336,Haem.measHGB~1 + Sex + (1|Batch),tissue,Haem.measHGB,0.200,0.082,3.30E-03
,Hematocrit (L/L) = (RBC x MCV) ÷ 10,Haem.HCT,0.469,0.0277,0.464,0.0273,0.474,0.0273,9.33,1282,Haem.HCT~1 + Sex + (1|Batch),tissue,Haem.HCT,0.180,0.085,1.02E-02
,Mean Corpuscular Volume (fL),Haem.MCV,48.3,1.54,48.2,1.57,48.5,1.5,4.2,1292,Haem.MCV~1 + Sex + (1|Batch),tissue,Haem.MCV,0.451,0.085,8.07E-10
,Mean Corpuscular Haemoglobin (pg) = (HGB / RBC) x 10,Haem.MCH,14.7,0.667,14.6,0.65,14.9,0.628,25.9,1338,Haem.MCH~1 + Sex + (1|Batch),tissue,Haem.MCH,0.269,0.082,1.07E-04
,Mean Corpuscular Haemoglobin Concentration (g/dL) = (HGB ÷ [RBC x MCV]) x 1000,Haem.MCHC,30.5,1.04,30.2,0.996,30.8,1.01,22.1,1273,Haem.MCHC~1 + Sex + (1|Batch),tissue,Haem.MCHC,0.113,0.085,8.29E-02
,Cellular Haemoglobin Concentration Mean (g/L),Haem.CHCM,29.2,0.743,29.1,0.733,29.3,0.735,7.98,1293,Haem.CHCM~1 + Sex + (1|Batch),tissue,Haem.CHCM,0.153,0.083,2.43E-02
,Red Blood Cell Distribution Width (%) = 100 x (SD of RBC Volume histogram ÷ MCV),Haem.RDW,15.4,1.17,15.4,1.19,15.3,1.15,0.303,1290,Haem.RDW~1 + (1|Batch),tissue,Haem.RDW,0.281,0.082,2.64E-05
,Haemoglobin Concentration Distribution Width (g/dL),Haem.HDW,2.37,0.191,2.36,0.196,2.39,0.185,2.08,1348,Haem.HDW~1 + (1|Batch),tissue,Haem.HDW,0.396,0.080,1.20E-09
,Platelet Count (x10E03 cells/µL),Haem.PLT,1340,280,1440,273,1230,246,42.9,1329,Haem.PLT~1 + Sex + (1|Batch),tissue,Haem.PLT,0.282,0.081,2.00E-05
,Mean Platelet Volume (fL),Haem.MPV,6.9,0.755,6.67,0.758,7.12,0.681,28.2,1339,Haem.MPV~1 + Sex + (1|Batch),tissue,Haem.MPV,0.193,0.084,7.43E-03
,Platelet Distribution Width (%) = 100 x (SD of PLT Volume histogram ÷ MPV),Haem.PDW,52.2,4.27,51.3,4.19,53.2,4.14,15.3,1324,Haem.PDW~1 + Sex + (1|Batch),tissue,Haem.PDW,0.237,0.085,1.08E-03
,Platelets Concentration (%) = (PLT x MPV) ÷ 10 000,Haem.PCT,0.918,0.215,0.956,0.226,0.879,0.197,10.6,1335,Haem.PCT~1 + Sex + (1|Batch),tissue,Haem.PCT,0.229,0.080,4.52E-04
,Percentage of Neutrophils (%),Haem.NEUT_percent,13.7,5.13,14.7,5.36,12.6,4.66,13.2,1327,Haem.NEUT_percent~1 + Sex + (1|Batch),tissue,Haem.NEUT_percent,0.152,0.083,2.76E-02
,Percentage of Lymphocytes (%),Haem.LYM_percent,78.9,5.67,78,5.93,79.8,5.24,8.18,1322,Haem.LYM_percent~1 + Sex + (1|Batch),tissue,Haem.LYM_percent,0.192,0.083,6.11E-03
,Percentage of Monocytes (%),Haem.MONO_percent,2.84,1.42,2.99,1.34,2.69,1.48,3.91,1318,Haem.MONO_percent~1 + (1|Batch) + Body.Weight,tissue,Haem.MONO_percent,0.174,0.081,7.93E-03
,Percentage of Eosinophils (%),Haem.EOS_percent,2.54,1.26,2.61,1.25,2.46,1.27,1.52,1321,Haem.EOS_percent~1 + (1|Batch),tissue,Haem.EOS_percent,0.015,0.078,4.23E-01
,Percentage of Large Unstained Cells (%) ,Haem.LUC_percent,1.03,0.816,0.806,0.669,1.27,0.891,24,1300,Haem.LUC_percent~1 + Sex + (1|Batch),tissue,Haem.LUC_percent,0.108,0.081,7.35E-02
,Percentage of Basophils (%),Haem.BASO_percent,0.156,0.107,0.128,0.094,0.187,0.112,23.8,1335,Haem.BASO_percent~1 + Sex + (1|Batch),tissue,Haem.BASO_percent,0.201,0.083,3.58E-03
,Absolute Count of Neutrophils (x10E03 cells/µL) = (%NEUT ÷ 100) x WBC ,Haem.abs_neuts,0.614,0.326,0.63,0.318,0.598,0.334,1.13,1327,Haem.abs_neuts~1 + (1|Batch),tissue,Haem.abs_neuts,0.270,0.082,9.28E-05
,Absolute Count of Lymphocytes (x10E03 cells/µL) = (%LYMPH ÷ 100) x WBC ,Haem.abs_lymphs,3.61,1.69,3.44,1.58,3.8,1.78,4.04,1347,Haem.abs_lymphs~1 + Sex + (1|Batch),tissue,Haem.abs_lymphs,0.247,0.084,8.18E-04
,Absolute Count of Monocytes (x10E03 cells/µL) = (%MONO ÷ 100) x WBC ,Haem.abs_mono,0.13,0.081,0.136,0.0843,0.125,0.077,1.95,1316,Haem.abs_mono~1 + (1|Batch) + Body.Weight,tissue,Haem.abs_mono,0.291,0.084,5.00E-05
,Absolute Count of Eosinophils (x10E03 cells/µL) = (%EOS ÷ 100) x WBC ,Haem.abs_eos,0.111,0.0606,0.111,0.0613,0.111,0.06,0.0235,1333,Haem.abs_eos~1 + (1|Batch),tissue,Haem.abs_eos,0.035,0.074,3.09E-01
,Asbsolute Count of Large Unstained Cells (x10E03 cells/µL) = (%LUC ÷ 100) x WBC ,Haem.abs_lucs,0.054,0.0569,0.0402,0.0429,0.0688,0.0656,19.2,1324,Haem.abs_lucs~1 + Sex + (1|Batch),tissue,Haem.abs_lucs,0.125,0.084,6.04E-02
,Absolute Count of Basophils (x10E03 cells/µL) = (%BASO ÷ 100) x WBCB,Haem.abs_basos,0.0073,0.00777,0.00556,0.00654,0.00914,0.00852,16.2,1314,Haem.abs_basos~1 + Sex + (1|Batch),tissue,Haem.abs_basos,0.223,0.085,2.22E-03
,Large Platelets (x10E03 cells/µL),Haem.Large_PLT,8.73,5.16,7.7,5.04,9.81,5.07,13.1,1312,Haem.Large_PLT~1 + Sex + (1|Batch),tissue,Haem.Large_PLT,0.192,0.087,1.04E-02
,Serotonin measured in blood platelets (nM),Serotonin.Serotonin_nM,10800,4760,10600,4470,11000,5030,1.17,1716,Serotonin.Serotonin_nM~1 + Serotonin.Date.Year + (1|Batch) + Serotonin.Date.Month,tissue,Serotonin.Serotonin_nM,0.035,0.061,2.74E-01
Genomic instability (micronucleus),Micronuclei in erythrocytes,Micronucleus.Mn.NCE,0.179,0.0492,0.208,0.0431,0.15,0.0358,140,1485,Micronucleus.Mn.NCE~1 + Sex + (1|Batch) + Micronucleus.Date.Year,tissue,Micronucleus.Mn.NCE,0.531,0.077,1.68E-15
Immunology (spleen),CD3+ cells (%),FACS.CD3pos,28.7,5.5,28.3,5.24,29.1,5.71,2.26,1632,FACS.CD3pos~1 + (1|Batch) + Body.Weight,tissue,FACS.CD3pos,0.135,0.071,2.26E-02
,CD45+/CD3+/CD4+ cells (%),FACS.CD45posCD3posCD4pos,20.7,4.19,20.2,3.87,21.1,4.4,4.86,1364,FACS.CD45posCD3posCD4pos~1 + Sex + (1|Batch) + Body.Weight,tissue,FACS.CD45posCD3posCD4pos,0.215,0.088,5.41E-03
,CD45+/CD3+/CD8+ cells (%),FACS.CD45posCD3posCD8pos,5.74,1.84,5.8,1.82,5.67,1.86,0.798,1576,FACS.CD45posCD3posCD8pos~1 + (1|Batch),tissue,FACS.CD45posCD3posCD8pos,0.487,0.073,9.77E-16
,CD45+/CD3-/CD19+ cells (%),FACS.CD45posCD3negCD19pos,62.4,5.64,62.8,5.3,62,5.9,2.22,1416,FACS.CD45posCD3negCD19pos~1 + (1|Batch),tissue,FACS.CD45posCD3negCD19pos,0.162,0.082,2.07E-02
,CD45+/CD3-/DX5+ cells (%),FACS.CD45posCD3negDX5pos,2.16,0.843,2.26,0.857,2.06,0.817,5.17,1405,FACS.CD45posCD3negDX5pos~1 + Sex + (1|Batch),tissue,FACS.CD45posCD3negDX5pos,0.473,0.078,8.93E-14
,CD3+/CD4+ cells (%),FACS.CD3posCD4pos,69.7,5.32,69.2,5.3,70.2,5.3,3.3,1357,FACS.CD3posCD4pos~1 + (1|Batch),tissue,FACS.CD3posCD4pos,0.564,0.081,7.28E-16
,CD3+/CD8+ cells (%),FACS.CD3posCD8pos,16.8,4.62,17.1,4.73,16.5,4.49,2.22,1627,FACS.CD3posCD8pos~1 + (1|Batch),tissue,FACS.CD3posCD8pos,0.625,0.068,1.00E-16
,Ratio of CD3+/CD4+ to CD3+/CD8+ cells,FACS.CD3posCD4CD8Ratio,4.33,1.42,4.18,1.35,4.47,1.46,3.74,1324,FACS.CD3posCD4CD8Ratio~1 + (1|Batch),tissue,FACS.CD3posCD4CD8Ratio,0.711,0.086,1.00E-16
,CD3+/CD4+/CD44+ cells (%),FACS.CD3posCD4posCD44pos,40,14.1,39.3,13.4,40.6,14.7,1.05,1311,FACS.CD3posCD4posCD44pos~1 + (1|Batch),tissue,FACS.CD3posCD4posCD44pos,0.169,0.080,6.95E-03
,CD3+/CD8+/CD44+ cells (%),FACS.CD3posCD8posCD44pos,39.8,12.9,39.3,12.4,40.2,13.5,0.838,1528,FACS.CD3posCD8posCD44pos~1 + (1|Batch),tissue,FACS.CD3posCD8posCD44pos,0.238,0.077,3.29E-04
,Ratio of CD3+/CD44+/CD4+ to CD3+/CD44+/CD8+ cells (%),FACS.CD3posCD44posCD4CD8Ratio,4.34,1.67,4.21,1.6,4.47,1.73,2.27,1287,FACS.CD3posCD44posCD4CD8Ratio~1 + (1|Batch),tissue,FACS.CD3posCD44posCD4CD8Ratio,0.369,0.093,7.75E-06
,Ratio of CD3+/CD44-/CD4+ to CD3+/CD44-/CD8+ cells (%),FACS.CD3posCD44negCD4CD8Ratio,4.31,1.65,4.2,1.62,4.41,1.67,1.65,1284,FACS.CD3posCD44negCD4CD8Ratio~1 + (1|Batch),tissue,FACS.CD3posCD44negCD4CD8Ratio,0.710,0.086,1.00E-16
Ventilatory response to acute hypoxia,Baseline (Minute Volume),Hypoxia.MV_Baseline,250,44.3,253,44.6,246,43.8,3,1549,Hypoxia.MV_Baseline~1 + (1|Batch) + Body.Weight + Hypoxia.Chamber + Hypoxia.Time.Hour.Minute,physiological,Hypoxia.MV_Baseline,0.229,0.077,6.28E-04
,Acute Hypoxic Response (Minute Volume),Hypoxia.MV_AHR,147,44.8,146,44.7,147,44.9,0.0818,1546,Hypoxia.MV_AHR~1 + (1|Batch) + Diss.Transfer.Date.Day_of_Year,physiological,Hypoxia.MV_AHR,0.084,0.073,1.22E-01
